Dataset,Model,CV Acc (mean),CV Acc (std),CV Prec (mean),CV Rec (mean),CV F1 (mean)
Coupling,KNN,0.6540,0.0269,0.6411,0.6540,0.6418
Coupling,Decision Tree,0.6041,0.0274,0.6051,0.6041,0.6035
Coupling,Random Forest,0.6705,0.0253,0.6598,0.6705,0.6600
Coupling,Logistic Regression,0.6837,0.0301,0.6753,0.6837,0.6508
Coupling,Naïve Bayes,0.6707,0.0312,0.6563,0.6707,0.6517
Coupling,SVM,0.6845,0.0260,0.6755,0.6845,0.6566
FC,KNN,0.5976,0.0332,0.5733,0.5976,0.5773
FC,Decision Tree,0.5480,0.0341,0.5515,0.5480,0.5489
FC,Random Forest,0.5957,0.0302,0.5546,0.5957,0.5553
FC,Logistic Regression,0.6307,0.0188,0.5956,0.6307,0.5541
FC,Naïve Bayes,0.6023,0.0333,0.5737,0.6023,0.5735
FC,SVM,0.6261,0.0117,0.5558,0.6261,0.5097
Myelin,KNN,0.6834,0.0256,0.6737,0.6834,0.6730
Myelin,Decision Tree,0.6297,0.0310,0.6304,0.6297,0.6285
Myelin,Random Forest,0.6938,0.0317,0.6878,0.6938,0.6876
Myelin,Logistic Regression,0.7181,0.0303,0.7115,0.7181,0.7049
Myelin,Naïve Bayes,0.6958,0.0324,0.7110,0.6958,0.6992
Myelin,SVM,0.7118,0.0313,0.7055,0.7118,0.6990
